Job-Type,Comany,Location,Duration (Months),Stripend (monthly),Incentives,Apply-By,Part-Time,Start
Web Development,Mobilytics,Work From Home,6,5500,,11 Aug' 21,,Immediately
Digital Marketing,Anchiale Technologies Private Limited,Work From Home,2,3000,,11 Aug' 21,,Immediately
Graphic Design,Prime Foods,Work From Home,6,5000,,11 Aug' 21,,Immediately
Social Media Marketing,ABC Consultants,Pimpri-Chinchwad,6,5000-10000,,11 Aug' 21,,Immediately
Embedded Systems (IoT),Parkzap Labs,Work From Home,6,10000-15000,,11 Aug' 21,,Immediately
Business Development (Sales),Tritorc Equipment Private Limited,Thane,6,7500,,11 Aug' 21,,Immediately
Client Servicing,Kid Aptivity Technologies,Work From Home,6,18000-22000,,11 Aug' 21,,Immediately
Social Media Marketing,Suggestr Private Limited,Work From Home,3,10000,,11 Aug' 21,,Immediately
Digital Marketing,Banka BioLoo,Hyderabad,3,10000,,11 Aug' 21,,Immediately
Fashion Styling,Ramp Asia,Delhi,3,5000,,11 Aug' 21,,Immediately
Operations,The Infused Kettle,Delhi,3,9000-10000,,11 Aug' 21,,Immediately
Research Marketing,Teabox,Work From Home,6,10000,,11 Aug' 21,,Immediately
Business Development (Sales),Alvaro Soft Private Limited,Work From Home,2,2500,Yes,11 Aug' 21,,Immediately
Community Management,Inventiva,Work From Home,1,8000-10000,,11 Aug' 21,Yes,Immediately
Animation,Rajasthan Studio,Work From Home,4,10000,,11 Aug' 21,,Immediately
Software Development (Django),Appick.co,Work From Home,3,5000,,11 Aug' 21,Yes,Immediately
Graphic Design,Connectico Media (OPC) Private Limited,Dehradun,6,3000,,11 Aug' 21,,Immediately
Market Research,Ghatkes,Work From Home,2,5000,,11 Aug' 21,,Immediately
Software Development (Django & ReactJS),Appick.co,Work From Home,3,5000-10000,,11 Aug' 21,,Immediately
Front End Software Development (React.js),Appick.co,Work From Home,3,2500,,11 Aug' 21,,Immediately
Flutter App Development,Prakshep Private Limited,Work From Home,3,8000-15000,,11 Aug' 21,Yes,Immediately
Marketing,Lapsus Creations,Work From Home,3,1000,Yes,11 Aug' 21,,Immediately
Event Management,Group Futurista,Work From Home,3,5000-7000,,11 Aug' 21,,Immediately
Editorial,Lapsus Creations,Work From Home,3,3000,,11 Aug' 21,,Immediately
Content Writing,Resumod,Work From Home,2,2000,,11 Aug' 21,,Immediately
Content Writing,Connectico Media (OPC) Private Limited,Dehradun,6,2000,,11 Aug' 21,,Immediately
Telecalling,TBM Technologies Private Limited,Work From Home,3,5000,,11 Aug' 21,,Immediately
Digital Marketing,Walking Frames Productions,Noida,3,12000-18000,,11 Aug' 21,,Immediately
Teaching (STEM & Robotics),The Whiz Lab,Mumbai,6,10000,Yes,11 Aug' 21,,Immediately
Graphic Design,Akanksha Dublish,Work From Home,2,1000,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Qurinom Solutions,Work From Home,6,1000,,11 Aug' 21,,Immediately
Human Resources (HR),SUPROS,Work From Home,2,3000-5000,,11 Aug' 21,,Immediately
Content Writing,Jalan Distributors & Company,DelhiKolkataPuneBangaloreHyderabadMumbai,3,2000,,11 Aug' 21,,Immediately
Mobile App Development,Qurinom Solutions,Work From Home,6,1000,,11 Aug' 21,,Immediately
Digital Marketing,Tara Airport & Hotels India Private Limited,Delhi,6,10000-20000,,11 Aug' 21,,Immediately
Telecalling,Grewal E-learning Services Private Limited,Delhi,6,7000-10000,,11 Aug' 21,,Immediately
Marketing,Bean Bag Bros,Pune,3,10000,,11 Aug' 21,,Immediately
Law/Legal,Inventiva,Work From Home,3,5000-8000,,11 Aug' 21,,Immediately
Data Analytics,ACE Overseas Education Consultants,Work From Home,3,1000,,11 Aug' 21,,Immediately
Business Development (Sales),TBM Technologies Private Limited,Work From Home,3,5000,,11 Aug' 21,,Immediately
Content Writing,PanIIT Alumni Foundation,Work From Home,2,Unpaid,,11 Aug' 21,Yes,Immediately
Media Planning,Inventiva,Work From Home,1,4000-5000,,11 Aug' 21,,Immediately
Marketing,CoreAngle,BhavnagarSuratNavsariAmreliBardoliSavar KundlaMahuva,5,2000,Yes,11 Aug' 21,,Immediately
Business Development (Sales),GIFOLA,Work From Home,3,10000,Yes,31 Aug' 21,Yes,Immediately
Digital Marketing,Prixim Infowares Private Limited,Navi Mumbai,4,4000,,11 Aug' 21,,Immediately
Key Account Advertising,Inventiva,Work From Home,2,5000-6000,,11 Aug' 21,,Immediately
Law/Legal,Roopam Sahni,Work From Home,2,Unpaid,,11 Aug' 21,,Immediately
Digital Marketing,ECom Conversion,DelhiGhaziabadFaridabadNoida,3,10000-12000,,11 Aug' 21,,Immediately
Human Resources (HR),People Plus Advisors LLP,Delhi,3,7500-8500,,11 Aug' 21,,Immediately
Media & Public Relations (PR),Hoot Welfare Society,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Sales,Go2Words,Work From Home,3,1000,,11 Aug' 21,Yes,Immediately
Marketing,IIRWU Education Private Limited,Work From Home,1,1000 (weekly),,11 Aug' 21,Yes,Immediately
Search Engine Optimization (SEO),Inknet Innovations Private Limited,Work From Home,3,2000,,11 Aug' 21,,Immediately
Photography,Manahsrushti,Pune,3,Unpaid,,11 Aug' 21,Yes,Immediately
Management Trainee (Operations),Code Karo Yaaro,Work From Home,3,2000,,11 Aug' 21,,Immediately
Social Media Marketing,Gush Beauty (Ornet Beauty Private Limited),Ahmedabad,2,3200-4000,,11 Aug' 21,,Immediately
Content Marketing,Inventiva,Work From Home,1,5000-6000,,11 Aug' 21,,Immediately
Accounts,Sr4ipr Partners,GhaziabadDelhi,6,3000-5000,,11 Aug' 21,,Immediately
Search Engine Optimization (SEO),Organizein,Work From Home,6,2000-3000,,11 Aug' 21,,Immediately
Human Resources (HR),RE/MAX V21,Pune,2,3000,,11 Aug' 21,,Immediately
Sales And Marketing,Ambee,Work From Home,3,5000,,11 Aug' 21,,Immediately
Business Development (Sales),Tara Airport & Hotels India Private Limited,DelhiGhaziabadMoradabadHapurNoida,3,20000-29997,,11 Aug' 21,,Immediately
Python Development,Serri Tech Solutions Private Limited,Work From Home,3,5000-10000,,11 Aug' 21,,Immediately
WordPress Publishing,Inventiva,Work From Home,3,8000-10000,,11 Aug' 21,,Immediately
Social Media Marketing,Joharee,Jaipur,3,5000,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Trekmunk Private Limited,Delhi,2,4000,,11 Aug' 21,,Immediately
Client Servicing,Inventiva,Work From Home,3,4000-7000,,11 Aug' 21,,Immediately
Business Development (Sales),PeopleNorth Adcon (OPC) Private Limited,Work From Home,2,7000,,11 Aug' 21,,Immediately
Digital Marketing,The Bling Stores LLP,Mumbai,6,8000-15000,,11 Aug' 21,,Immediately
Social Media Marketing,Rishyonan,Gurgaon,6,10000,,11 Aug' 21,,Immediately
Business Development (Sales),Indian Hotel Academy,Delhi,6,10000,,11 Aug' 21,,Immediately
UI/UX Design,Hilspade Private Limited,Bangalore,1,8000,,11 Aug' 21,,Immediately
Subject Matter Expert (Discovering Algebra),Digituala Lab Enterprise LLP,Work From Home,3,5000-6000,,11 Aug' 21,Yes,Immediately
Mobile App Development,Hilspade Private Limited,Bangalore,2,8000,,11 Aug' 21,,Immediately
Operations,Organizein,Work From Home,6,2000-3000,,11 Aug' 21,,Immediately
Social Media Marketing,Bright Rise,Work From Home,6,6000-12000,,11 Aug' 21,,Immediately
Graphic Design,Trekmunk Private Limited,Delhi,2,4000,,11 Aug' 21,Yes,Immediately
Social Media Marketing,SMBXL Private Limited,Hyderabad,2,5000,,11 Aug' 21,,Immediately
Digital Marketing,Gateway Software Solution Private Limited,Work From Home,6,15000,,11 Aug' 21,,Immediately
Creative Teaching,Om Sales Agency,Jabalpur,2,2000-2200,,11 Aug' 21,,Immediately
Human Resources (HR),Black Cat Education Private Limited,Jaipur,2,4000,,11 Aug' 21,,Immediately
Human Resources (HR),Organizein,Work From Home,6,2000-3000,,11 Aug' 21,,Immediately
Content Writing,Onelearning Edusphere Private Limited,Work From Home,6,5000,,11 Aug' 21,,Immediately
Flutter Development,Briyon Developers,Work From Home,1,2000,,11 Aug' 21,Yes,Immediately
ReactJS Development,Codersarts,Work From Home,6,10000-15000,,11 Aug' 21,,Immediately
Operations,Inventiva,Work From Home,3,5000-7000,,11 Aug' 21,,Immediately
Campus Ambassador,Youth Empowerment Foundation,Work From Home,1,,,11 Aug' 21,Yes,Immediately
Marketing,Athical Private Limited,Work From Home,3,1000,Yes,11 Aug' 21,Yes,Immediately
Human Resources (HR),Inknet Innovations Private Limited,Delhi,3,2000,,11 Aug' 21,,Immediately
Campus Ambassador,Sidd Ahmed,Work From Home,2,,,11 Aug' 21,Yes,Immediately
Content Writing,Prixim Infowares Private Limited,Navi MumbaiVashi,4,4000,,11 Aug' 21,,Immediately
Graphic Design,Complyhappy Finserv Private Limited,Work From Home,3,2000,,11 Aug' 21,,Immediately
Graphic Design,By Nature,Work From Home,3,10000-20000,,11 Aug' 21,,Immediately
Video Making/Editing,LEGACY Research Solutions,Work From Home,3,1000,,11 Aug' 21,Yes,Immediately
Management And Co-compiling,Verses Kindler Publication,Work From Home,1,1000,Yes,11 Aug' 21,Yes,Immediately
Affiliate Marketing,Xcitedu Software Solutions Private Limited,Work From Home,1,10000,Yes,11 Aug' 21,,Immediately
Graphic Design,Tasseled Home,Work From Home,2,2000,,11 Aug' 21,Yes,Immediately
Marketing,LoomCrafts Furniture India,BahadurgarhDelhiGurgaonRohtak,6,12000-18000,,11 Aug' 21,,Immediately
Business Development (Sales),Amazon Institute Of Hotel Tourism & Management,Dehradun,6,4000,Yes,11 Aug' 21,,Immediately
Fashion Stylist,Enzo League,Bangalore,2,2000,,11 Aug' 21,,Immediately
Interior Design,Espangle,Gurgaon,2,5000-8000,,11 Aug' 21,,Immediately
Graphic Design,Vedic Spoons,Mumbai,3,18000-22000,,11 Aug' 21,,Immediately
Business Development (Sales),DiGiBrix Digital Media Agency,Work From Home,3,5000,Yes,11 Aug' 21,,Immediately
Acting,Purani Dili Talkies LLP,Delhi,6,2500,,11 Aug' 21,,Immediately
Content Writing/Anchoring,Goldenwire Media And Entertainment Private Limited,AlmoraChandigarhDelhiVirudhunagarBangaloreMumbaiKashmirGandhinagarAssamNorth SikkimMaharashtra,3,2000-5000,,11 Aug' 21,,Immediately
Subject Matter Expert (General Business Management),Dimentics Info Tech Private Limited,Work From Home,6,12000-14000,,11 Aug' 21,,Immediately
Linkedin Marketing,Socio Labs,Work From Home,2,1000,,11 Aug' 21,Yes,Immediately
Graphic Design,Spiva Infotech Private Limited,Chittorgarh,2,5000-7000,,11 Aug' 21,,Immediately
Market Research,Gradian Analytics,Work From Home,2,2000,,11 Aug' 21,,Immediately
Business Development (Sales),QuizWorks,Work From Home,1,3000,,11 Aug' 21,,Immediately
Content Review & Development (Advanced Mathematics),Dimentics Info Tech Private Limited,Work From Home,6,12000-14000,,11 Aug' 21,,Immediately
Social Media Marketing,ALCOR CAPITAL INC,Work From Home,3,5000,,11 Aug' 21,,Immediately
Business Development (Sales),Nyx Wolves,Work From Home,3,10000-15000,,11 Aug' 21,,Immediately
Teaching (Mathematics),IonTach Academy,ChennaiCoimbatoreErodePuducherryThoothukudiVirudhunagarNagercoilKumbakonamVirudhachalamVelloreSalem,6,6000,,11 Aug' 21,Yes,Immediately
Video Editing/Making,Alvaro Soft Private Limited,Work From Home,3,2500,Yes,11 Aug' 21,,Immediately
Digital Marketing,Scientific Ayurved By Dr. Neeraj Jaswal,Delhi,3,10000,,11 Aug' 21,,Immediately
Social Media Marketing,Ridge Gate Solutions Private Limited,Work From Home,2,1000-1500,,11 Aug' 21,Yes,Immediately
Social Media Management,Yolmate Private Limited,Bhopal,6,2000-7000,,11 Aug' 21,,Immediately
Fundraising,Bajrangi Welfare Federation,Delhi,5,Unpaid,,11 Aug' 21,,Immediately
Content Writing,Dazzle InfoTech,Jaipur,2,8000,,11 Aug' 21,,Immediately
Marketing,MLAI Digital Limited,FaridabadDelhiGurgaonNoida,3,20000-25000,,11 Aug' 21,,Immediately
Business Development (Sales),Innowrap Technologies,Work From Home,3,3000-5000,,11 Aug' 21,,Immediately
Digital Marketing,Web AI Solutions,Work From Home,3,2000-5000,,11 Aug' 21,,Immediately
Social Media Marketing,Adroit Learning And Manpower Private Limited,Work From Home,6,3000,,11 Aug' 21,,Immediately
Campus Ambassador,Career Launcher Baroda,Vadodara,3,,,11 Aug' 21,Yes,Immediately
Graphic Design,Ridge Gate Solutions Private Limited,Work From Home,2,1000-1200,,11 Aug' 21,Yes,Immediately
Customer Service,Hilti India,Gurgaon,6,20000-25000,,11 Aug' 21,,Immediately
Content Writing,Shadelic Design House,Jaipur,2,9000,,11 Aug' 21,,Immediately
Sanskrit (Online Teaching),Godhuli Group,Work From Home,3,1000,,11 Aug' 21,,Immediately
Web Development,Flint Energy,Dhaka (Bangladesh)Rajshahi (Bangladesh)Khulna (Bangladesh)Sylhet (Bangladesh)Chittagong (Bangladesh)Rajshahi District (Bangladesh)Mymensingh District (Bangladesh)Gazipur (Bangladesh)Banglabandha (Bangladesh)Khulna District (Bangladesh),3,,,11 Aug' 21,,Immediately
Campus Ambassador,Shreshtha Bharat Foundation,Work From Home,1,,,11 Aug' 21,Yes,Immediately
Campus Ambassador,Ruson Infomedia Private Limited (The Boring News Company),Work From Home,4 (Weeks),,,11 Aug' 21,Yes,Immediately
Full Stack Software Engineering,SkillCounty,Work From Home,6,5000,,11 Aug' 21,,Immediately
Web Development,Web AI Solutions,Work From Home,3,5000-8000,,11 Aug' 21,,Immediately
Digital Marketing,3 Horizons Private Limited,Work From Home,1,1000,,11 Aug' 21,Yes,Immediately
UI/UX Design,VAPPR TECHHUB LLP,Work From Home,6,7000-10000,,11 Aug' 21,,Immediately
Operations,Adstacks Media,DelhiGurgaon,6,6000,,11 Aug' 21,,Immediately
Social Media Marketing,Skin Elements,Gurgaon,6,9000-12000,,11 Aug' 21,,Immediately
Graphic Design,Searckey Marketing And Media,Work From Home,2,1000,,11 Aug' 21,,Immediately
Mobile App Development,Revizify (Shotnotes Learning Solutions Private Limited),Work From Home,3,8000-10000,,11 Aug' 21,,Immediately
Social Media Marketing,Hyper Lychee,Work From Home,6,5000-10000,,11 Aug' 21,Yes,Immediately
Graphic Design,Web AI Solutions,Work From Home,3,2000-5000,,11 Aug' 21,,Immediately
Corporate Sales,EstateMint Private Limited,Pune,2,8000,,11 Aug' 21,,Immediately
Graphic Design,Shadelic Design House,Jaipur,4,9000,,11 Aug' 21,,Immediately
Digital Marketing,Kritical Edge Consulting Private Limited,Work From Home,3,8000-10000,,11 Aug' 21,,Immediately
Web Development,Lawbriefcase,Work From Home,2,1500,,11 Aug' 21,Yes,Immediately
Subject Matter Expert (Advanced Physics),Dimentics Info Tech Private Limited,Work From Home,6,12000-14000,,11 Aug' 21,,Immediately
Human Resources (HR),SmartConnect Technologies,Work From Home,3,5000,,11 Aug' 21,,Immediately
Software Testing,Cool Soft Technology,Work From Home,2,9500,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Bean Bag Bros,Pune,3,10000,,11 Aug' 21,,Immediately
Human Resources (HR),TheOther 2 Thirds Consulting LLP,Work From Home,6,5000,,11 Aug' 21,,Immediately
Full Stack Development,Poxo RFID Automation,DelhiGhaziabadNoida,6,15000-19900,,11 Aug' 21,Yes,Immediately
Campus Ambassador,Wevolve Consumer Private Limited,Work From Home,2,,,11 Aug' 21,Yes,Immediately
Subject Matter Expert (Statistics),Dimentics Info Tech Private Limited,Work From Home,6,13000-15000,,11 Aug' 21,,Immediately
Business Development (Sales),Subha-Visha Agri Nutrition Private Limited,AligarhGreater NoidaJewarMathuraJhajjarSohna,3,5000,,11 Aug' 21,,Immediately
Graphic Design,Impact Communications,Delhi,3,3000,,11 Aug' 21,,Immediately
Law/Legal,VSP Legals,Delhi,2,Unpaid,,11 Aug' 21,,Immediately
Marketing,Cool Soft Technology,Work From Home,2,9500,,11 Aug' 21,Yes,Immediately
Graphic Design,Pet Project India Private Limited,Noida,2 (Weeks),2500 (weekly),,11 Aug' 21,,Immediately
Marketing,SteamUp Foods,PuneSuratHyderabadJaipurNashikBaroda,3,4000,,11 Aug' 21,,Immediately
Graphic Design,NinthSem,Work From Home,1,1000,,11 Aug' 21,Yes,Immediately
Customer Experience,FYPMoney,Gurgaon,6,7500-10000,,11 Aug' 21,,Immediately
Operations,La Opulencia Events Private Limited,Work From Home,3,4000,,11 Aug' 21,Yes,Immediately
Market Research,Onelearning Edusphere Private Limited,Work From Home,3,1000,,11 Aug' 21,,Immediately
Business Development (Sales),Searckey Marketing And Media,Work From Home,2,1000,Yes,11 Aug' 21,,Immediately
Human Resources (HR),Axis Consultants,DelhiGurgaonNoida,3,3000,,11 Aug' 21,,Immediately
Operations,Apogee Tech Global,Bangalore,3,9500-14000,,11 Aug' 21,,Immediately
UI/UX Design,Centris Mobility & Project Services Private Limited (CMPS),Chennai,6,8000,,11 Aug' 21,,Immediately
Business Development (Sales),Amstech Incorporation Private Limited,Indore,3,5000,,11 Aug' 21,,Immediately
Business Development (Sales),Unekha,Work From Home,2,3000,,11 Aug' 21,Yes,Immediately
Community Management,Wealthy,Work From Home,3,10000,,11 Aug' 21,,Immediately
Digital Marketing,Unekha,Work From Home,2,2500,,11 Aug' 21,Yes,Immediately
Video Editing,UnchaAi,Work From Home,2,2000,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Poxo RFID Automation,Delhi,6,10000,,11 Aug' 21,,Immediately
Electronics & Communication Engineering,TaraSpan Solutions Private Limited,Gurgaon,6,15000,,11 Aug' 21,,Immediately
Administration,HuntingCube,Noida,3,8000,,11 Aug' 21,,Immediately
Accounts,TBM Technologies Private Limited,Delhi,3,5000,,11 Aug' 21,,Immediately
Operations,BetterPlace Safety Solutions,Work From Home,3,15000,,11 Aug' 21,,Immediately
Fashion Design,DROIT,Delhi,5,8000,,11 Aug' 21,,Immediately
Business Development (Sales),Quinbay Technologies,ThaneMumbaiMumbake,6,22000,,11 Aug' 21,,Immediately
Digital Marketing,Nectar Pure Concepts,Delhi,3,10000,,11 Aug' 21,,Immediately
SEO (Off Page- Backlinks),ColorQ Digital,Work From Home,2,2000,,11 Aug' 21,,Immediately
Supply Chain Management (SCM),Augrade Private Limited,Work From Home,3,8000-15000,,11 Aug' 21,Yes,Immediately
Operations,Aster Guest House,Kolkata,3,7000,,11 Aug' 21,,Immediately
Sales,Pyramidion Solutions,Chennai,6,15000,,11 Aug' 21,,Immediately
Sales Executive,Kaampe Job Solutions Private Limited,HyderabadMumbaiIndore,6,18000,,11 Aug' 21,,Immediately
Content Writing,BUOPSO Private Limited,DelhiGurgaon,3,10000,,11 Aug' 21,,Immediately
Client Serving,Kid Aptivity Technologies,Work From Home,6,20000-22000,,11 Aug' 21,,Immediately
Subject Matter Expert (SME),Ignite Edutech,Work From Home,6,7800,,11 Aug' 21,,Immediately
Marketing,Yamuna Industries Limited,Bangalore,6,15000,,11 Aug' 21,,Immediately
Business Development (Sales),Media MadHawks Private Limited,Work From Home,3,5000-6000,,11 Aug' 21,,Immediately
Social Media Marketing,Ad Hoc Scientific Private Limited,AhmedabadDelhiPuneBangaloreHyderabadMumbai,6,7000,Yes,11 Aug' 21,Yes,Immediately
UI/UX Design,LabSmart Healthcare Technologies,Pune,2,6000,,11 Aug' 21,,Immediately
Video Making/Editing,NEHANET Corporation,Work From Home,3,5000,,11 Aug' 21,Yes,Immediately
Information Technology,Hoot Welfare Society,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Digital Marketing,DigitalVishesh,DelhiMumbai,3,7000,,11 Aug' 21,,Immediately
Digital Marketing,Marketing Musketeer,Work From Home,3,10000,,11 Aug' 21,,Immediately
Graphic Design,Hoot Welfare Society,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Digital Marketing,Cambik,Gurgaon,3,15000,,11 Aug' 21,,Immediately
Business Development (Sales),Ostello India Private Limited,Work From Home,4 (Weeks),3000-7000,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Shadelic Design House,Jaipur,4,9000,,11 Aug' 21,,Immediately
Social Media Marketing,Startupmed,Work From Home,3,1500,,11 Aug' 21,,Immediately
Web Development,NuzPapr Technologies India Private Limited,Work From Home,2,10000,,11 Aug' 21,,Immediately
Web Development,Revizify (Shotnotes Learning Solutions Private Limited),Work From Home,3,8000-10000,,11 Aug' 21,,Immediately
Cinematography,Kaalia Productions,Bangalore,6,9000,,11 Aug' 21,,Immediately
Social Media Marketing,Briyon Developers,Work From Home,1,1500,,11 Aug' 21,Yes,Immediately
Public Relations (PR),Youth India Foundation E-School,Work From Home,3,Unpaid,,11 Aug' 21,Yes,Immediately
Graphic Design,Sygnific Careers Private Limited,Bhopal,2,3000-4000,,11 Aug' 21,,Immediately
Campus Ambassador,E-LITERATE EDUCATION,Work From Home,1,,,11 Aug' 21,Yes,Immediately
Web Development,Shadelic Design House,Jaipur,4,9000,,11 Aug' 21,,Immediately
Community Management - Funnel Marketing,Zzoko,Work From Home,6,4000,,11 Aug' 21,Yes,Immediately
Law/Legal,Corporate Advisors Law Professionals LLP,Bangalore,3,1000,,11 Aug' 21,,Immediately
Business Development (Sales),Silver Bullet Corporation,Noida,3,2000,,11 Aug' 21,,Immediately
Campus Ambassador,HumBee,DelhiPuneBangaloreMumbai,1,,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Proxbotics Creation Technologies,Jaipur,3,10000-12000,,11 Aug' 21,,Immediately
Social Media Marketing,Ananta Resource Management Private Limited,Work From Home,3,,,11 Aug' 21,,Immediately
Fundraising,Victor Welfare Association,Work From Home,2 (Weeks),Unpaid,,11 Aug' 21,Yes,Immediately
Content Writing,Speed Records,AmritsarJalandharLudhianaPatialaChandigarh,2,6000-8000,,11 Aug' 21,,Immediately
Social Media Marketing,NSL Impex Private Limited,Work From Home,2,10000,,11 Aug' 21,,Immediately
Video Presenting/News Anchoring,BlamGlam,Mumbai,2,3000,,11 Aug' 21,Yes,Immediately
Data Entry,ACE Overseas Education Consultants,Work From Home,3,1000,,11 Aug' 21,,Immediately
Web Development,Camp Yellow,Work From Home,2,3000,,11 Aug' 21,Yes,Immediately
Research Writing,CogniAble,Work From Home,3,6000,,11 Aug' 21,,Immediately
Content Writing,We Love Digital Marketing,Work From Home,3,5000,,11 Aug' 21,,Immediately
Human Resources (HR),Appalto Electronics Private Limited,Indore,3,2500,,11 Aug' 21,,Immediately
Human Resources (HR),Kashyaps HR And Payroll Solutions,Work From Home,3,2000-3000,,11 Aug' 21,,Immediately
Photography,The Meal Deals,Work From Home,1,1000,,11 Aug' 21,,Immediately
Campus Ambassador,American Institute Of Big Data Professionals,Work From Home,6,,,11 Aug' 21,Yes,Immediately
Content Writing,The Optimist Citizen,Work From Home,2,1500-2000,,11 Aug' 21,Yes,Immediately
Web Development,Infuzex Ventures,Work From Home,1,1500,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Kudosware,Work From Home,3,5000,,11 Aug' 21,,Immediately
Teaching,Adore India,Work From Home,2,Unpaid,,11 Aug' 21,Yes,Immediately
Law/Legal,Expansive Solutions,Work From Home,3,2500,,11 Aug' 21,Yes,Immediately
Campus Ambassador,Commondove,Work From Home,3,,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Access Labs,Work From Home,1,7500-10000,,11 Aug' 21,Yes,Immediately
UI/UX Design,Kudosware,Work From Home,3,5000,,11 Aug' 21,Yes,Immediately
Campus Ambassador,StudyPal.co,Work From Home,2,,,11 Aug' 21,Yes,Immediately
E-Commerce Management,Alanna Naturally Beautiful,Bhopal,3,5000,,11 Aug' 21,,Immediately
Travel & Tourism (Back Office Operations),TravelBubble International Private Limited,Kolkata,2,6000,,11 Aug' 21,,Immediately
Marketing,Altros Consulting,Work From Home,1,,,11 Aug' 21,,Immediately
Marketing,Unnati,Work From Home,6,Unpaid,,11 Aug' 21,Yes,Immediately
Social Media Marketing,Impact Communications,Delhi,3,10000,,11 Aug' 21,,Immediately
Business Development (Sales),Kheewa Incorporation,LudhianaAhmedgarh,6,8000,,11 Aug' 21,,Immediately
Graphic Design,InfoScience Labs,Work From Home,6,10000,,11 Aug' 21,Yes,Immediately
Graphic Design,Finstreet,Work From Home,4,7000-10000,,11 Aug' 21,,Immediately
Campus Ambassador,SK Children Foundation,Work From Home,4,,,11 Aug' 21,Yes,Immediately
Digital Marketing,Dignity Software Private Limited,FaridabadDelhiGurgaonNoida,6,2000,,11 Aug' 21,,Immediately
Subject Matter Expert (Mathematics),InhaltMart,Work From Home,3,10000,,11 Aug' 21,Yes,Immediately
Campus Ambassador,Stubborn Factory Private Limited,Work From Home,5,,,11 Aug' 21,Yes,Immediately
Social Media Marketing,We Love Digital Marketing,Work From Home,3,5000,,11 Aug' 21,,Immediately
Content Writing,Updeed,Work From Home,2,3000,Yes,11 Aug' 21,,Immediately
Content Writing,DigiVantrix,Work From Home,2,2000-3000,,11 Aug' 21,,Immediately
Web Development,Goldilocks Tech Solution Private Limited,Work From Home,3,10000,,11 Aug' 21,,Immediately
Graphic Design,Alvaro Soft Private Limited,Work From Home,2,2500,Yes,11 Aug' 21,Yes,Immediately
Operations,Tulot Tech Labs,Work From Home,3,3000,,11 Aug' 21,,Immediately
Web Development,IDeepeners,Work From Home,3,10000-20000,,11 Aug' 21,,Immediately
Digital Marketing,ProHance,DelhiGurgaon,6,10000,,11 Aug' 21,,Immediately
Graphic Design,Aeronutrix Sport Product Private Limited,Mumbai,4,10000,,11 Aug' 21,,Immediately
Graphic Design,DesignAR,Mumbai,4,9000-10000,,11 Aug' 21,Yes,Immediately
Web Development,Clothing And Merchandise,Work From Home,3,5000,,11 Aug' 21,,Immediately
Node.js Development,Codersarts,Work From Home,6,10000-15000,,11 Aug' 21,,Immediately
Law/Legal,Aeronutrix Sport Product Private Limited,Mumbai,4,10000,,11 Aug' 21,,Immediately
Campus Ambassador,BuyEazzy (GOBUYEAZZIFY INDIA PRIVATE LIMITED),Work From Home,3,,,11 Aug' 21,Yes,Immediately
Content Writing,Blue Buzz,Mumbai,2,5000,,11 Aug' 21,,Immediately
Web Development,Finance Lookup Advisors,Work From Home,6,15000,,11 Aug' 21,,Immediately
Content Writing,Girlmantra,Work From Home,2,10000,,11 Aug' 21,,Immediately
Business Development (Sales),TechKilla,Work From Home,6,3000-5000,,11 Aug' 21,,Immediately
Content Writing,Adshade,Work From Home,3,2000,,11 Aug' 21,Yes,Immediately
Content Writing,HAPS DIGITAL,Work From Home,3,13000,,11 Aug' 21,,Immediately
Business Development (Sales),Teevra Edutech Private Limited (SpeEdLabs),Work From Home,2,8000,,11 Aug' 21,,Immediately
Mobile App Development,MetaboliX,Mumbai,3,3500-5000,,11 Aug' 21,Yes,Immediately
Business Development (Sales),Koto Trade And Services Private Limited,GurgaonDelhi,4,5000,Yes,11 Aug' 21,Yes,Immediately
Digital Marketing,CASPR India,Pune,2,Unpaid,,11 Aug' 21,,Immediately
UI Design,Decimal Technologies,Gurgaon,1,12000,,11 Aug' 21,,Immediately
Covid Relief Volunteering,Piramal Foundation,Work From Home,6,Unpaid,,11 Aug' 21,,Immediately
Campus Ambassador,I5 Summit," IIM Indore",1,,,11 Aug' 21,Yes,Immediately
Furniture Design,Indian Classics,Nashik,3,6000,,11 Aug' 21,,Immediately
Human Resources (HR),UCPro LLP,Bangalore,6,6000-8000,,11 Aug' 21,,Immediately
Business Analysis,StartupLanes,Work From Home,6,5000,,11 Aug' 21,,Immediately
Language Translation,JBS Academy,Ahmedabad,2,4000-6000,,11 Aug' 21,,Immediately
Social Media Marketing,OckyPocky,Delhi,5,10000,,11 Aug' 21,,Immediately
Video Editing (YouTube),Shinebee Edutech,Work From Home,2,5000,,11 Aug' 21,Yes,Immediately
